,donor,lineage,norm.total,total,name,cdf.norm,cdf,index
1,0,8,0.250567543670992,193,0_8,0.125283771835496,193,1
2,0,15,0.225651380823795,137,0_15,0.238109462247393,330,2
3,0,0,0.186668100461204,129,0_0,0.331443512477995,459,3
4,0,4,0.18452935694315,132,0_4,0.42370819094957,591,4
5,1,4,0.468089778284195,330,1_4,0.234044889142098,330,1
6,1,13,0.28789227555429,203,1_13,0.377991026919242,533,2
7,3,12,0.220809513396437,117,3_12,0.110404756698218,117,1
8,3,15,0.173474222402716,124,3_15,0.197141867899576,241,2
9,3,8,0.166630220861579,115,3_8,0.280456978330366,356,3
10,3,17,0.163339685316506,104,3_17,0.362126820988618,460,4
11,3,19,0.160049149771433,93,3_19,0.442151395874335,553,5
12,2,4,0.262297590207829,132,2_4,0.131148795103914,132,1
13,2,9,0.259161035318118,124,2_9,0.260729312762973,256,2
14,2,5,0.252237664159123,131,2_5,0.386848144842535,387,3
